annee;code_insee_region;production_hydraulique_renouvelable;production_bioenergies_renouvelable;production_eolienne_renouvelable;production_solaire_renouvelable;production_electrique_renouvelable;production_gaz_renouvelable;production_totale_renouvelable
2008;93;9088.2;107.3;88.0;2.2;9285.7;;9285.7
2009;11;45.0;649.6;;2.6;697.2;;697.2
2009;28;146.0;235.9;476.0;1.4;859.3;;859.3
2009;52;16.0;103.6;400.0;18.8;538.4;;538.4
2009;76;9862.9;376.1;1421.0;54.9;11714.9;;11714.9
2009;93;10218.2;148.6;110.0;29.1;10505.900000000001;;10505.900000000001
2010;27;877.4;74.7;141.0;19.6;1112.6999999999998;;1112.6999999999998
2010;84;26198.8;204.5;575.0;73.8;27052.1;;27052.1
2011;24;56.3;132.1;1216.4;53.3;1458.1000000000001;;1458.1000000000001
2011;27;639.3;81.6;154.1;58.3;933.3;;933.3
2011;52;11.3;133.6;703.6;187.5;1036.0;;1036.0
2012;24;118.0;142.8;1560.0;129.1;1949.8999999999999;;1949.8999999999999
2012;27;1050.4;89.7;271.0;102.2;1513.3000000000002;;1513.3000000000002
2012;28;152.0;265.9;948.8;83.7;1450.3999999999999;;1450.3999999999999
2012;94;336.0;7.8;27.9;101.3;473.0;;473.0
2013;24;171.4;233.6;1513.2;166.4;2084.6;;2084.6
2013;28;134.9;309.9;968.8;92.4;1506.0;;1506.0
2013;76;11961.5;508.1;2197.1;989.8;15656.5;;15656.5
2014;24;138.6;285.1;1626.3;198.0;2248.0;;2248.0
2014;28;155.6;301.6;1046.5;112.5;1616.2;;1616.2
2014;93;11053.9;380.8;105.9;1014.8;12555.399999999998;;12555.399999999998
2015;75;3082.2;1298.7;924.0;1817.0;7121.9;0.8;7122.7
2016;93;9169.1;677.6;108.6;1349.5;11304.800000000001;0.0;11304.800000000001
2016;94;471.3;9.2;32.9;156.6;670.0;0.0;670.0
2017;44;7391.0;657.4;5567.8;505.0;14121.2;74.2;14195.400000000001
2017;53;538.2;278.7;1545.5;206.9;2569.3;27.2;2596.5
2017;76;7872.5;571.9;3128.5;2076.4;13649.3;0.0;13649.3
2018;28;128.5;336.3;1517.8;150.1;2132.7;23.2;2155.8999999999996
2018;44;6795.7;746.7;6339.0;964.3;14845.699999999999;139.4;14985.099999999999
2018;52;19.2;318.0;1631.7;546.4;2515.3;68.2;2583.5
2018;93;10764.7;831.3;100.0;1624.3;13320.3;0.0;13320.3
2008;11;59.0;629.9;;0.7;689.6;;689.6
2008;53;535.9;58.5;548.0;1.1;1143.5;;1143.5
2008;75;4318.0;172.9;69.0;1.7;4561.599999999999;;4561.599999999999
2008;84;28161.3;150.2;404.0;5.7;28721.2;;28721.2
2009;32;5.0;264.2;1569.0;3.7;1841.9;;1841.9
2010;75;4122.0;702.1;220.0;68.6;5112.700000000001;;5112.700000000001
2010;93;11133.8;273.6;120.0;87.7;11615.1;;11615.1
2010;94;581.0;8.8;27.0;2.2;619.0;;619.0
2011;32;3.7;327.9;2473.8;47.5;2852.9;;2852.9
2011;53;509.8;74.6;1112.9;95.4;1792.7000000000003;;1792.7000000000003
2011;94;294.0;8.2;24.2;25.1;351.5;;351.5
2012;11;56.0;693.6;54.5;53.7;857.8000000000001;;857.8000000000001
2012;32;13.0;358.8;2764.3;104.4;3240.5000000000005;;3240.5000000000005
2012;75;3225.0;970.2;648.9;752.2;5596.299999999999;;5596.299999999999
2012;76;8921.1;468.6;2072.5;894.6;12356.800000000001;;12356.800000000001
2012;84;26869.1;299.0;777.9;438.2;28384.2;;28384.2
2013;44;8624.5;430.3;3688.5;409.6;13152.9;;13152.9
2013;53;479.8;159.1;1405.8;153.0;2197.7;;2197.7
2014;27;825.8;110.0;374.5;192.6;1502.8999999999999;;1502.8999999999999
2015;27;727.6;122.4;695.4;219.6;1765.0;3.0;1768.0
2015;28;117.0;313.9;1259.7;121.6;1812.1999999999998;0.0;1812.1999999999998
2015;53;531.9;229.9;1651.0;187.3;2600.1000000000004;1.4;2601.5000000000005
